@relation 'amazon-commerce-reviews-weka.filters.unsupervised.attribute.Remove-V-R7,386,388,448,678,821,889,1011,1295,2115,6597,6629,6707,6740,6755,6793,6896,6921,6924,6939,6966,6977,6995,7024,7468,7700,7976,8058,8977,9200,9967,10001'

@attribute V7 numeric
@attribute V386 numeric
@attribute V388 numeric
@attribute V448 numeric
@attribute V678 numeric
@attribute V821 numeric
@attribute V889 numeric
@attribute V1011 numeric
@attribute V1295 numeric
@attribute V2115 numeric
@attribute V6597 numeric
@attribute V6629 numeric
@attribute V6707 numeric
@attribute V6740 numeric
@attribute V6755 numeric
@attribute V6793 numeric
@attribute V6896 numeric
@attribute V6921 numeric
@attribute V6924 numeric
@attribute V6939 numeric
@attribute V6966 numeric
@attribute V6977 numeric
@attribute V6995 numeric
@attribute V7024 numeric
@attribute V7468 numeric
@attribute V7700 numeric
@attribute V7976 numeric
@attribute V8058 numeric
@attribute V8977 numeric
@attribute V9200 numeric
@attribute V9967 numeric
@attribute Class {Agresti,Ashbacher,Auken,Blankenship,Brody,Brown,Bukowsky,CFH,Calvinnme,Chachra,Chandler,Chell,Cholette,Comdet,Corn,Cutey,Davisson,Dent,Engineer,Goonan,Grove,Harp,Hayes,Janson,Johnson,Koenig,Kolln,Lawyeraau,Lee,Lovitt,Mahlers2nd,Mark,McKee,Merritt,Messick,Mitchell,Morrison,Neal,Nigam,Peterson,Power,Riley,Robert,Shea,Sherwin,Taylor,Vernon,Vision,Walters,Wilson}

@data
9,0,0,0,0,0,0,0,0,0,12,9,1,2,7,1,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,Corn
0,0,0,0,1,0,0,0,0,0,21,7,10,2,0,6,1,1,5,3,0,0,1,0,0,0,1,4,6,0,0,Taylor
2,0,0,0,0,0,0,0,0,0,11,7,2,0,1,0,11,11,0,0,0,0,0,1,0,0,0,0,0,0,0,Goonan
2,0,0,0,0,0,0,0,0,0,17,7,2,0,1,7,0,0,5,4,3,3,0,2,1,1,0,0,0,5,0,Messick
5,0,0,1,0,0,0,0,0,0,3,5,0,3,3,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,Brown
1,0,0,0,0,0,0,0,0,0,13,7,0,8,0,4,0,0,4,4,1,1,1,3,0,0,0,0,0,0,0,Vernon
3,0,0,0,0,0,0,0,0,0,8,5,4,0,3,3,3,3,2,2,0,0,0,3,0,0,1,1,0,0,0,Grove
8,0,0,0,0,0,0,0,0,0,11,3,1,0,6,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,Cutey
0,0,0,0,0,0,0,0,0,0,22,5,5,0,0,6,0,0,5,4,4,4,0,3,2,2,1,1,1,0,0,Messick
5,0,0,0,0,0,0,0,0,0,11,23,6,0,3,4,1,1,4,4,0,0,0,5,2,2,1,2,0,0,0,Neal
2,0,0,0,0,0,0,0,0,0,5,2,1,2,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,Ashbacher
4,0,0,0,1,0,0,0,0,0,9,9,1,2,2,3,0,0,3,3,3,3,0,0,1,1,0,0,0,0,0,CFH
1,0,6,0,0,0,0,0,0,0,10,7,14,0,1,0,6,6,0,0,2,2,0,0,2,1,0,0,0,1,0,Engineer
3,0,0,1,1,0,0,0,0,0,7,15,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,CFH
0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,1,4,4,1,1,1,0,0,0,1,1,0,0,0,0,0,Chachra
2,0,0,1,1,0,0,0,0,0,8,12,5,2,2,0,1,1,0,0,3,3,1,0,4,4,0,0,0,0,0,CFH
6,0,1,0,0,0,0,0,0,0,12,9,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Goonan
0,0,2,0,0,0,0,0,0,0,17,13,5,8,0,3,6,5,2,2,2,2,1,0,0,0,0,0,2,0,0,Engineer
7,0,0,0,0,0,0,0,0,0,25,9,5,0,5,7,0,0,7,7,4,4,0,3,1,1,1,0,0,2,0,Messick
0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,2,0,0,1,1,1,1,0,2,0,0,0,0,0,3,0,Harp
3,0,0,0,0,0,0,0,0,0,11,5,1,14,2,1,3,3,1,1,4,4,7,0,0,0,1,0,0,0,1,Robert
0,0,0,0,1,1,0,0,0,0,25,3,3,0,0,7,0,0,5,5,4,4,0,0,0,0,0,0,8,0,0,Merritt
0,0,0,0,0,0,0,0,0,0,7,5,5,8,0,5,0,0,3,3,3,3,3,0,0,0,0,0,1,0,0,Robert
8,0,0,0,0,0,0,0,0,0,15,11,0,4,3,2,14,14,2,2,1,1,1,0,0,0,0,0,0,0,0,Chandler
0,1,0,0,0,0,0,0,0,0,4,1,4,0,0,1,0,0,1,1,5,5,0,0,3,3,0,0,0,1,0,Harp
2,0,0,0,0,0,0,0,0,0,10,8,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Corn
4,3,0,0,0,0,0,0,0,0,18,7,3,2,4,5,0,0,4,4,1,1,1,0,0,0,0,1,4,0,0,Taylor
1,0,0,0,0,0,0,0,0,0,25,7,3,0,1,3,0,0,3,3,2,2,0,5,0,0,0,0,0,0,0,Cholette
2,0,0,0,0,0,1,0,0,0,14,7,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,Lawyeraau
2,0,0,0,0,0,0,0,0,0,20,11,0,0,2,10,3,3,7,7,2,2,0,2,0,0,1,0,0,0,0,Grove
0,0,0,0,0,0,0,0,0,0,28,5,5,6,0,5,7,6,4,4,0,0,3,0,4,4,1,0,0,0,0,Shea
3,0,0,0,0,0,0,0,0,0,20,17,0,0,2,8,4,4,8,8,0,0,0,3,0,0,0,0,0,1,0,Power
4,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,McKee
0,0,0,0,0,0,0,0,0,0,11,15,7,2,0,2,0,0,0,0,6,6,1,0,1,1,0,0,1,0,0,Auken
2,0,0,0,0,0,0,0,0,0,6,11,5,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,1,0,0,Koenig
0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vision
0,0,0,0,0,0,0,0,0,0,5,10,7,0,0,0,6,6,0,0,0,0,0,0,4,0,0,0,0,1,0,Dent
5,0,0,0,0,0,0,0,0,0,25,5,5,2,4,5,5,5,4,4,2,2,1,0,0,0,0,0,0,0,0,Lee
5,0,0,0,0,0,0,0,0,0,14,5,7,8,3,5,6,6,4,4,0,0,4,0,4,4,0,0,0,0,0,Calvinnme
16,0,0,1,0,0,0,0,0,1,14,13,4,0,12,7,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,Koenig
6,0,0,0,0,0,0,0,0,0,13,7,3,4,5,3,0,0,3,3,4,4,2,0,0,0,1,0,0,0,0,Robert
4,0,0,0,0,0,0,0,0,0,7,3,1,2,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,Grove
0,0,0,0,0,0,0,0,0,0,16,5,12,8,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,Bukowsky
0,0,0,0,0,0,0,0,0,0,9,16,20,0,0,3,1,0,3,2,0,0,0,3,0,0,0,2,0,0,0,Neal
2,0,0,0,0,0,0,0,0,0,13,3,11,4,1,3,0,0,2,2,7,7,2,0,4,4,0,0,0,0,0,Hayes
0,2,0,0,0,0,0,0,0,0,7,8,7,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,Auken
0,0,0,0,0,0,0,0,0,0,15,7,3,8,0,8,1,1,3,2,0,0,4,0,0,0,0,0,0,0,1,Vernon
0,0,0,0,1,0,0,0,0,0,9,5,3,0,0,3,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,Brown
1,0,0,0,0,0,0,0,0,0,29,5,2,12,1,7,3,3,7,7,0,0,6,0,0,0,0,0,0,0,0,Vernon
2,2,0,0,0,0,0,0,0,0,5,14,2,6,2,1,3,2,1,1,6,6,3,0,1,0,0,1,0,1,1,Auken
2,0,0,0,0,0,0,0,0,0,21,5,4,2,2,5,3,3,4,4,1,1,1,6,0,0,0,0,0,0,0,Janson
0,0,0,0,0,0,0,0,0,0,21,5,0,6,0,4,2,2,4,4,0,0,3,0,0,0,0,0,0,0,0,Vernon
3,0,0,0,0,0,0,0,0,0,12,4,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,Ashbacher
3,0,0,0,0,0,0,0,0,0,6,11,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,Vision
0,0,0,0,0,0,0,0,0,0,13,9,2,6,0,2,1,1,1,1,3,3,2,0,0,0,1,0,0,0,0,Agresti
3,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Cutey
1,0,0,0,0,0,0,0,0,0,37,5,10,26,0,3,0,0,3,3,11,11,13,4,1,1,10,0,0,0,0,Lovitt
3,0,0,0,0,0,0,0,0,0,11,5,0,2,3,0,7,6,0,0,2,2,1,0,0,0,1,0,0,0,0,Sherwin
2,8,0,0,0,0,0,0,0,0,33,9,8,14,2,8,1,1,8,8,4,4,7,0,0,0,0,3,11,0,2,Taylor
1,0,5,0,0,0,0,0,0,0,12,13,17,0,1,1,2,2,1,1,3,3,0,0,3,0,0,0,0,14,0,Engineer
0,0,0,0,0,0,0,0,0,0,12,3,4,0,0,2,0,0,2,2,2,2,0,0,4,4,0,0,1,5,0,Harp
0,0,0,0,0,0,0,0,0,0,22,7,9,6,0,5,0,0,4,4,0,0,3,0,0,0,1,0,0,0,1,Bukowsky
2,0,0,0,0,0,0,0,0,0,5,9,1,2,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,Vision
1,0,0,1,1,0,0,0,0,0,7,18,13,0,1,0,1,1,0,0,4,4,0,0,9,7,0,0,0,0,0,CFH
0,0,0,0,0,0,0,0,0,0,15,5,3,4,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,Bukowsky
2,0,0,0,0,0,0,0,0,0,11,12,1,2,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,5,3,3,6,0,1,0,0,1,1,0,0,3,1,1,1,0,0,1,0,0,Janson
0,1,0,0,0,0,0,0,0,0,16,14,10,6,0,1,0,0,0,0,2,2,3,0,0,0,1,0,1,0,0,Auken
1,2,0,0,0,0,0,0,0,0,11,10,8,4,0,2,0,0,1,1,5,5,2,0,0,0,1,2,2,1,0,Kolln
5,0,0,0,1,0,0,0,0,0,18,13,8,12,5,6,4,4,4,4,1,1,6,0,2,1,0,0,1,0,0,Koenig
0,0,0,0,0,1,0,0,0,0,11,3,4,4,0,3,0,0,1,1,4,3,2,0,0,0,3,0,2,0,0,Merritt
17,0,0,0,0,0,0,0,0,0,13,13,4,0,13,0,3,3,0,0,2,2,0,6,0,0,0,1,0,0,0,Chandler
6,0,0,0,0,0,0,0,0,0,10,5,0,0,3,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Corn
1,0,0,0,0,0,0,0,0,0,9,5,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,McKee
7,0,0,0,0,0,0,0,0,0,6,5,0,2,5,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,Corn
0,0,0,0,0,0,0,0,0,0,13,3,5,0,0,3,2,1,2,2,0,0,0,2,0,0,0,0,0,0,0,Janson
1,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Corn
0,0,0,0,0,0,0,0,0,0,22,3,3,6,0,7,0,0,5,4,0,0,3,1,0,0,2,0,0,0,0,Bukowsky
0,0,0,0,0,0,0,0,0,0,12,5,1,2,0,1,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,Bukowsky
1,0,0,0,0,0,0,0,0,0,9,35,1,0,1,1,2,2,1,1,0,0,0,1,0,0,6,0,1,0,0,Neal
10,0,0,1,0,0,0,0,0,0,18,1,5,0,7,4,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,Cholette
7,0,0,0,0,0,0,0,0,0,6,7,2,0,6,1,3,3,1,1,1,1,0,0,2,2,0,0,0,3,0,Dent
0,0,0,0,0,0,0,0,0,0,19,9,6,0,0,3,1,1,2,2,3,3,0,1,0,0,6,0,1,0,0,Messick
6,0,0,0,0,0,0,0,1,0,6,13,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Mark
2,0,0,0,0,0,0,0,0,0,7,3,0,0,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,McKee
1,0,0,0,0,0,0,0,0,0,14,7,8,2,1,5,3,3,3,3,2,2,1,0,0,0,2,2,3,0,1,Taylor
0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Brody
2,0,0,0,0,0,0,0,0,0,8,5,4,6,2,2,0,0,1,1,2,2,3,0,0,0,0,0,0,0,1,Chell
3,0,0,0,0,0,0,0,1,0,8,11,3,0,3,1,3,3,0,0,3,3,0,0,0,1,0,0,0,0,0,Mark
1,0,0,1,0,0,0,0,0,0,7,13,2,1,1,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,Agresti
6,0,7,0,0,0,0,0,0,0,8,7,11,0,4,1,1,1,1,1,1,1,0,0,1,1,0,0,1,2,0,Engineer
6,0,0,0,0,0,0,0,0,0,13,1,8,2,6,2,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,Cholette
3,0,0,1,0,0,0,0,0,0,8,9,1,0,2,1,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,Shea
0,0,0,0,0,0,0,0,0,0,20,5,0,2,0,9,0,0,8,8,1,1,1,2,0,0,0,0,0,0,0,Vernon
0,0,0,0,0,0,0,0,0,0,11,5,3,0,0,3,0,0,2,2,0,0,0,5,3,3,0,0,0,2,0,Harp
0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,6,0,0,4,4,0,0,0,4,0,0,0,0,1,0,0,Lawyeraau
1,0,0,0,0,0,0,0,0,0,7,18,11,4,0,0,1,1,0,0,3,3,2,0,11,9,1,0,0,0,0,CFH
6,0,0,0,0,0,0,0,0,0,8,9,4,0,4,0,5,5,0,0,1,1,0,0,2,2,0,2,0,0,0,Mahlers2nd
2,0,0,0,0,0,0,0,0,0,6,11,2,2,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,Mitchell
1,0,0,0,0,0,0,0,0,0,19,13,2,0,1,5,0,0,4,4,1,1,0,2,1,1,1,1,0,1,0,Messick
3,0,0,0,0,0,0,0,0,0,7,17,2,0,3,0,2,2,0,0,0,0,0,0,2,2,0,0,1,0,0,Vision
4,0,0,0,0,0,0,0,0,0,18,5,4,0,2,4,1,1,2,2,1,1,0,0,0,0,0,1,0,0,0,Chell
0,1,0,0,0,0,0,0,0,0,11,13,2,2,0,2,0,0,2,2,7,7,1,0,1,1,0,0,2,1,0,Auken
1,0,0,0,0,0,0,0,0,0,6,3,0,0,1,3,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,McKee
2,0,0,1,0,0,0,0,0,0,17,5,14,0,1,3,0,0,3,3,0,0,0,0,5,5,0,0,0,0,0,Calvinnme
3,0,0,0,0,0,0,0,0,0,22,5,7,18,3,1,1,0,0,0,1,1,9,0,2,2,0,1,0,0,0,Lee
5,0,0,0,0,0,0,0,0,0,14,5,5,4,4,4,4,4,4,4,0,0,2,0,0,0,0,0,1,0,0,Vernon
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Chachra
2,0,0,0,1,0,0,0,0,0,6,9,3,5,1,1,2,1,1,1,1,1,2,0,1,1,1,0,0,0,0,Agresti
2,0,0,1,1,0,0,0,0,0,8,12,5,2,2,0,1,1,0,0,3,3,1,0,4,4,0,0,0,0,0,CFH
10,0,0,0,0,0,0,0,0,0,5,13,7,8,8,0,0,0,0,0,1,1,4,6,1,1,0,0,0,2,0,Brody
3,0,0,0,0,0,0,0,0,0,17,16,1,4,0,4,1,0,1,1,0,0,2,2,0,0,4,0,1,0,0,Blankenship
1,1,0,0,0,0,0,0,0,0,15,7,6,4,1,7,1,1,5,5,0,0,2,0,0,0,1,1,1,0,1,Taylor
1,0,0,0,0,0,0,0,0,0,16,13,3,10,0,0,2,2,0,0,0,0,4,3,0,0,0,0,0,1,1,Vision
3,0,0,0,0,0,1,0,0,0,22,9,0,0,3,11,1,1,10,10,2,2,0,0,0,0,0,0,1,1,0,Power
2,0,0,0,0,0,0,0,0,0,13,1,6,2,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Chell
1,0,0,0,0,0,0,0,0,0,24,3,18,22,0,1,1,1,0,0,5,5,10,4,0,0,0,7,0,0,1,Chell
4,0,0,0,0,0,0,0,0,0,21,9,7,18,3,3,0,0,3,3,2,2,8,6,0,1,0,0,0,0,0,Davisson
0,0,0,0,0,0,0,0,0,0,20,7,1,0,0,6,6,5,2,2,4,3,0,0,0,0,2,0,0,0,0,Lee
0,0,0,0,0,0,0,0,0,0,21,5,11,2,0,2,5,5,1,1,0,0,1,0,9,9,0,0,0,0,0,Shea
5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,McKee
0,0,0,0,0,0,0,0,0,0,4,15,7,2,0,0,0,0,0,0,4,4,1,0,1,1,0,0,1,0,0,Auken
6,0,0,0,0,0,0,0,0,0,10,11,3,2,5,0,5,4,0,0,0,0,0,6,1,1,0,1,0,0,1,Mitchell
0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,2,0,0,2,2,0,0,0,0,1,1,0,0,1,3,0,Harp
11,0,0,0,0,0,0,0,0,0,20,9,1,2,5,6,2,2,6,6,7,7,1,0,1,1,1,0,0,0,0,Comdet
9,0,0,0,0,0,0,0,0,0,8,5,2,3,6,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Corn
5,0,0,0,0,0,0,0,0,0,15,3,3,0,3,5,0,0,4,4,2,2,0,0,3,3,0,0,0,0,0,Hayes
0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,3,3,0,0,11,0,0,1,0,0,0,0,1,0,0,Ashbacher
6,0,0,0,0,0,0,0,0,0,19,7,10,2,5,4,0,0,2,2,5,5,1,0,0,0,0,4,0,0,0,Walters
1,0,0,0,0,0,0,0,0,0,3,11,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Chachra
10,0,0,0,0,0,0,0,0,0,12,9,1,6,8,3,1,1,3,3,0,0,3,1,0,0,0,0,0,0,1,Davisson
9,0,0,0,0,0,0,0,0,0,11,1,2,2,8,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,Blankenship
9,0,0,1,0,0,0,0,0,0,5,9,4,0,6,0,4,4,0,0,1,1,0,0,3,3,0,0,0,0,0,Comdet
6,0,0,0,0,0,0,0,0,0,3,9,0,0,5,1,7,6,0,0,2,2,0,0,0,0,2,0,0,0,0,Sherwin
6,0,0,0,0,0,0,0,0,0,17,5,8,4,4,2,3,3,2,2,2,2,2,0,0,0,0,3,0,0,0,Chell
17,0,0,0,0,0,0,1,0,0,5,9,1,8,14,0,1,0,0,0,2,2,3,1,0,0,0,0,1,0,1,Johnson
0,0,0,0,0,0,1,0,0,0,12,11,1,0,0,2,0,0,1,1,4,2,0,0,0,0,4,0,0,0,0,Morrison
0,0,0,0,0,0,0,0,0,0,23,5,1,8,0,7,0,0,6,6,0,0,4,0,0,0,0,0,0,0,0,Vernon
4,0,0,0,0,0,0,0,0,0,16,5,9,0,3,5,0,0,3,3,2,2,0,4,1,1,2,0,0,0,0,Messick
7,0,0,0,0,0,0,0,0,0,10,7,7,0,5,2,2,0,1,1,0,0,0,1,3,3,0,0,0,0,0,Shea
10,0,0,0,0,0,0,0,0,0,13,13,1,0,10,3,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,Vision
0,0,0,0,0,0,0,0,0,0,6,9,0,8,0,1,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,Peterson
2,0,0,1,1,1,0,0,0,0,14,13,4,3,2,1,0,0,1,1,4,4,1,0,0,0,0,0,0,0,0,CFH
6,0,0,0,0,0,0,0,0,0,8,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Dent
2,0,0,0,0,0,0,0,0,0,5,11,0,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,Agresti
11,0,0,0,0,0,0,0,0,0,15,5,6,0,10,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,Riley
5,0,0,0,0,0,0,0,0,0,16,5,2,8,4,2,2,2,2,2,4,4,4,10,0,0,0,0,0,0,0,Robert
6,0,0,0,0,0,1,0,0,0,17,9,0,0,4,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,Morrison
1,0,3,0,0,0,0,0,0,0,9,10,6,2,0,0,0,0,0,0,2,2,1,0,3,0,0,0,0,6,0,Engineer
4,0,0,1,0,0,0,0,0,0,4,9,2,2,4,0,2,2,0,0,0,0,1,0,0,0,2,1,0,0,0,Sherwin
4,0,0,0,0,0,0,0,1,0,8,11,2,2,3,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,Mark
1,0,0,0,0,0,0,0,0,0,4,7,2,4,1,1,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,Engineer
0,0,0,0,0,0,0,0,0,0,16,11,5,4,0,3,4,4,3,3,0,0,1,2,0,0,0,1,0,0,1,Lovitt
0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nigam
1,0,0,0,0,0,0,0,0,0,12,11,2,4,1,4,4,4,4,4,1,1,1,3,1,1,0,1,1,0,0,Mitchell
6,0,0,0,0,0,0,0,0,0,11,3,0,0,4,0,4,4,0,0,1,1,0,3,0,0,0,0,0,0,0,Corn
1,0,0,0,0,0,0,0,0,0,20,5,1,2,1,3,0,0,3,3,2,2,1,4,0,0,0,0,0,0,0,Walters
8,0,0,0,0,0,0,0,0,0,2,3,1,0,8,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Riley
5,1,0,0,0,0,0,0,0,0,15,7,0,0,3,1,13,13,0,0,1,1,0,0,0,0,0,0,0,0,0,Goonan
2,0,0,0,0,0,0,0,0,0,19,5,8,0,2,2,2,2,0,0,4,4,0,1,0,0,0,2,0,0,0,Chell
11,0,0,0,0,0,0,1,0,0,9,11,0,2,10,2,6,5,0,0,0,0,1,6,0,0,0,0,0,0,1,Johnson
5,0,0,0,0,0,0,0,0,0,15,7,3,6,2,5,0,0,4,4,1,1,3,1,0,0,3,0,0,0,0,Wilson
7,0,0,0,0,0,0,1,0,0,6,7,0,0,5,1,4,4,1,0,0,0,0,4,0,0,0,0,0,0,0,Johnson
2,0,0,0,0,0,0,0,0,0,5,9,5,2,0,1,6,6,0,0,0,1,1,0,1,1,0,1,0,0,0,Mahlers2nd
7,0,0,0,0,0,0,0,0,0,8,10,3,2,6,0,5,5,0,0,0,0,1,0,1,1,0,0,0,0,0,Calvinnme
1,0,0,0,0,0,0,0,0,0,13,1,3,2,1,4,0,0,3,3,0,0,1,0,1,1,0,0,1,0,0,Hayes
7,0,0,0,0,0,0,0,0,0,15,7,1,2,4,2,4,4,1,1,1,1,0,7,0,0,0,0,0,0,1,Mitchell
0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Chachra
5,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,McKee
