@relation metaData_small_allPerformanceValues

@attribute 'OpenML Data Set ID' numeric
@attribute NumberOfInstances numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfClasses numeric
@attribute Dimensionality numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute NumberOfBinaryFeatures numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassSize numeric
@attribute MajorityClassPercentage numeric
@attribute MinorityClassPercentage numeric
@attribute AutoCorrelation numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute CardinalityAtTwo numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtFour numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric
@attribute weka.classifiers.trees.REPTree numeric

@data
1413,150,5,3,0.033333,0,0,0,0,4,1,0,0.8,0.2,0,50,50,0.333333,0.333333,0.986577,3.463667,0.94731,-0.750739,0.067376,1.198667,0.433594,-1.401921,-0.274464,5.843333,1.76442,0.290781,0.334053,1.6625,0.515986,-1.386379,-0.232097,3.406333,0.795613,-0.945909,0.104957,5.322167,1.530332,0.08007,0.329267,3,3,3,0,0.9558,0.06,0.91,0.9932,0.033333,0.95,0.833333,0.333333,0.5,0.956533,0.066667,0.9,0.956533,0.066667,0.9,0.956533,0.066667,0.9,0.956533,0.066667,0.9,0.955,0.073333,0.89,0.95,0.066667,0.9,0.956533,0.066667,0.9,0.955,0.073333,0.89,0.95,0.066667,0.9,0.956533,0.066667,0.9,0.955,0.073333,0.89,0.95,0.066667,0.9,30.75,10.078856,22,43,3,0,3,3,1505,34615,761530,94.761905,94.761905,95.238095,96.190476,97.142857,0,95.714286,95.238095,0,95.238095,94.285714,94.761905,94.285714,94.761905,95.238095,33.333333,66.666667,95.714286,95.714286,95.238095,94.761905,94.761905
1441,123,40,2,0.325203,0,0,0,0,39,1,1,0.975,0.025,0.025,107,16,0.869919,0.130081,0.811475,589.02985,1072.552399,6.131917,2.062545,0.080894,0.041211,-0.751553,-1.566751,20366.843902,38139.592314,15.632153,3.730679,0.903496,0.338366,2.3301,1.610985,5.528455,5.663118,6.185002,2.317356,27.593496,25.019611,8.824706,2.692595,2,2,2,0,0.667348,0.113821,0.401668,0.676706,0.178862,0.318388,0.703563,0.121951,0.238547,0.662091,0.121951,0.291747,0.662091,0.121951,0.291747,0.662091,0.121951,0.291747,0.61361,0.105691,0.426265,0.497664,0.130081,0,0.52979,0.170732,0.073197,0.61361,0.105691,0.426265,0.497664,0.130081,0,0.52979,0.170732,0.073197,0.61361,0.105691,0.426265,0.497664,0.130081,0,0.52979,0.170732,0.073197,42.25641,36.548971,3,122,2,0,2,2,14884,1815848,219717608,77.058824,82.352941,85.294118,87.647059,91.176471,94.705882,92.941176,95.294118,91.176471,88.823529,78.823529,91.176471,91.176471,90,89.411765,91.176471,90.588235,88.235294,92.941176,90,84.117647,91.764706
1442,253,38,2,0.150198,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,226,27,0.893281,0.106719,0.825397,344.999517,576.168564,8.056948,2.127079,0.075099,0.074079,-0.257709,-0.970137,11007.662174,19242.037136,67.010838,8.125143,1.578458,1.439555,2.49298,1.420792,7.375494,6.541391,3.552652,1.734815,26.717391,20.886162,6.152516,2.191685,2,2,2,0,0.567027,0.16996,0.150145,0.734738,0.181818,0.280895,0.699607,0.114625,0.168235,0.639872,0.126482,0.102439,0.639872,0.126482,0.102439,0.639872,0.126482,0.102439,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,72.72973,75.077977,2,250,2,0,2,2,62500,15500000,3689000000,81.917808,80,76.712329,83.287671,85.479452,87.39726,89.315068,89.589041,90.410959,83.835616,84.931507,88.493151,88.219178,87.671233,87.945205,90.410959,86.027397,87.671233,89.589041,89.315068,85.479452,90.410959
1443,661,38,2,0.057489,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,609,52,0.921331,0.078669,0.854545,962.844116,3961.850658,62.668221,5.662196,0.078623,0.057799,-1.235243,-0.059326,32323.665567,136511.379136,257.296452,14.485068,1.687035,2.246513,11.84128,2.78303,10.378215,14.453736,47.761652,5.816752,28.559758,38.4149,97.823331,7.820069,2,2,2,0,0.61889,0.107413,0.224934,0.756033,0.1059,0.294277,0.738632,0.078669,0,0.671135,0.083207,0.191302,0.671135,0.083207,0.191302,0.671135,0.083207,0.191302,0.738458,0.089259,0.260725,0.499589,0.078669,0,0.549829,0.11649,0.110332,0.738458,0.089259,0.260725,0.499589,0.078669,0,0.549829,0.11649,0.110332,0.738458,0.089259,0.260725,0.499589,0.078669,0,0.549829,0.11649,0.110332,148.243243,190.22551,7,648,2,0,2,2,418608,256606704,150371528544,72.307692,91.487179,90.25641,92.410256,92.512821,92.923077,92.820513,93.230769,86.358974,90.871795,89.230769,93.333333,93.333333,93.128205,91.692308,92.820513,92.820513,91.179487,93.230769,93.435897,89.230769,92.820513
1446,296,38,2,0.128378,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,258,38,0.871622,0.128378,0.789831,1214.301483,4061.626578,29.661814,3.813362,0.078581,0.055922,-1.118162,-0.481469,40743.957432,139977.2367,163.897555,11.554686,2.474324,2.672779,8.733427,2.310091,14.827703,13.847535,21.406235,3.598215,39.636824,38.128296,36.624016,4.685584,2,2,2,0,0.546716,0.222973,0.085736,0.655924,0.25,0.149953,0.713739,0.128378,0,0.576499,0.179054,0.152367,0.576499,0.179054,0.152367,0.576499,0.179054,0.152367,0.722052,0.175676,0.248731,0.5,0.128378,0,0.56222,0.195946,0.124439,0.722052,0.175676,0.248731,0.5,0.128378,0,0.56222,0.195946,0.124439,0.722052,0.175676,0.248731,0.5,0.128378,0,0.56222,0.195946,0.124439,91.621622,89.810093,11,294,2,0,2,2,86436,24461388,6922572804,70.232558,78.372093,71.162791,83.023256,84.418605,87.674419,87.906977,87.44186,88.372093,77.674419,79.534884,86.976744,84.186047,86.046512,85.348837,88.372093,88.372093,83.488372,87.44186,87.44186,80.697674,88.372093
1447,327,38,2,0.116208,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,285,42,0.87156,0.12844,0.766871,1462.387446,4655.669056,22.627861,3.574363,0.076636,0.055726,-1.08487,-0.452191,49208.265749,160345.247206,104.326363,9.251664,2.60237,2.928617,9.439086,2.444265,16.767584,15.101056,17.616718,3.526237,44.015291,45.308026,27.697046,4.346889,2,2,2,0,0.51416,0.232416,0.002408,0.58724,0.217125,0.158347,0.652757,0.12844,0,0.526859,0.134557,0.021624,0.526859,0.134557,0.021624,0.526859,0.134557,0.021624,0.674394,0.171254,0.202717,0.499123,0.12844,0,0.530326,0.217125,0.058859,0.674394,0.171254,0.202717,0.499123,0.12844,0,0.530326,0.217125,0.058859,0.674394,0.171254,0.202717,0.499123,0.12844,0,0.530326,0.217125,0.058859,101.918919,99.170554,11,325,2,0,2,2,105625,33060625,10314915000,69.684211,76.210526,48.842105,84.842105,82.947368,88,88.421053,87.157895,88.421053,77.684211,81.894737,87.578947,85.473684,86.526316,83.578947,88.421053,88.421053,83.789474,87.157895,86.736842,81.473684,86.947368
1448,194,40,2,0.206186,0,0,0,0,39,1,1,0.975,0.025,0.025,158,36,0.814433,0.185567,0.715026,886.326396,1796.882697,9.236459,2.265179,0.074639,0.039807,-0.573462,-1.297105,30965.455515,64279.042652,62.025028,6.869132,0.953608,0.847312,2.90369,1.53251,6.628866,6.58121,6.227916,2.225123,33.690722,34.191372,10.897003,2.75879,2,2,2,0,0.531997,0.273196,0.066122,0.670026,0.216495,0.283755,0.643284,0.180412,0.207701,0.628516,0.170103,0.231083,0.628516,0.170103,0.231083,0.628516,0.170103,0.231083,0.620429,0.231959,0.27165,0.5,0.185567,0,0.588256,0.216495,0.197716,0.620429,0.231959,0.27165,0.5,0.185567,0,0.588256,0.216495,0.197716,0.620429,0.231959,0.27165,0.5,0.185567,0,0.588256,0.216495,0.197716,61.820513,57.114784,4,189,2,0,2,2,35721,6715548,1249091928,77.090909,76.727273,77.454545,79.636364,77.818182,83.636364,84,82.545455,70.181818,74.545455,76,84.727273,82.181818,80.363636,80.363636,83.636364,84,81.818182,82.545455,81.454545,72,83.636364
1449,253,38,2,0.150198,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,226,27,0.893281,0.106719,0.825397,344.999517,576.168564,8.056948,2.127079,0.075099,0.074079,-0.257709,-0.970137,11007.662174,19242.037136,67.010838,8.125143,1.578458,1.439555,2.49298,1.420792,7.375494,6.541391,3.552652,1.734815,26.717391,20.886162,6.152516,2.191685,2,2,2,0,0.567027,0.16996,0.150145,0.734738,0.181818,0.280895,0.699607,0.114625,0.168235,0.639872,0.126482,0.102439,0.639872,0.126482,0.102439,0.639872,0.126482,0.102439,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,0.655031,0.126482,0.290323,0.619715,0.13834,0.180927,0.588414,0.181818,0.156422,72.72973,75.077977,2,250,2,0,2,2,62500,15500000,3689000000,81.917808,80,76.712329,83.287671,85.479452,87.39726,89.315068,89.589041,90.410959,83.835616,84.931507,88.493151,88.219178,87.671233,87.945205,90.410959,86.027397,87.671233,89.589041,89.315068,85.479452,90.410959
1450,125,40,2,0.32,0,0,0,0,39,1,1,0.975,0.025,0.025,81,44,0.648,0.352,0.556452,1814.84921,4242.40431,7.540191,2.327063,0.07624,0.088205,-0.595448,-1.366118,65069.3668,154169.904319,20.769634,4.17557,2.10352,1.045235,3.31187,1.822081,13.744,16.161795,8.341723,2.691279,35.44856,43.82054,10.291513,3.009036,2,2,2,0,0.64436,0.32,0.26815,0.672073,0.304,0.264933,0.613215,0.328,0.110089,0.582772,0.304,0.210701,0.582772,0.304,0.210701,0.582772,0.304,0.210701,0.647587,0.328,0.269631,0.529321,0.376,0.041442,0.692761,0.304,0.366498,0.647587,0.328,0.269631,0.529321,0.376,0.041442,0.692761,0.304,0.366498,0.647587,0.328,0.269631,0.529321,0.376,0.041442,0.692761,0.304,0.366498,52.897436,35.976451,6,125,2,0,2,2,15625,1921875,236390625,68.571429,70.285714,71.428571,64.571429,73.142857,72,68,66.857143,34.285714,68,60.571429,66.285714,64.571429,65.142857,65.714286,65.714286,68.571429,68,66.857143,69.142857,60.571429,65.714286
1451,705,38,2,0.053901,0,0,0,0,37,1,1,0.973684,0.026316,0.026316,644,61,0.913475,0.086525,0.838068,1283.639736,6136.712385,56.502556,5.345354,0.076851,0.057411,-1.212405,-0.057339,43415.675035,212518.869084,264.203846,14.92419,1.771284,2.392933,15.239651,2.745545,11.034043,15.249482,42.804489,5.266997,30.71844,40.252291,77.222222,6.826845,2,2,2,0,0.629709,0.113475,0.248701,0.765762,0.141844,0.228615,0.766992,0.086525,0,0.775443,0.089362,0.169798,0.775443,0.089362,0.169798,0.775443,0.089362,0.169798,0.746958,0.093617,0.223361,0.727306,0.08227,0.209855,0.594568,0.103546,0.224048,0.746958,0.093617,0.223361,0.727306,0.08227,0.209855,0.594568,0.103546,0.224048,0.746958,0.093617,0.223361,0.727306,0.08227,0.209855,0.594568,0.103546,0.224048,159.297297,203.019822,7,690,2,0,2,2,474720,310466880,194041800000,74.92823,88.325359,88.325359,90.717703,90.526316,91.866029,91.674641,91.866029,91.866029,88.516746,88.325359,92.15311,91.291866,91.674641,90.526316,91.866029,91.866029,91.38756,91.866029,91.961722,88.133971,90.717703
1452,745,37,2,0.049664,0,0,0,0,36,1,1,0.972973,0.027027,0.027027,729,16,0.978523,0.021477,0.956989,394.718295,1538.110222,133.862426,8.346343,0.114792,0.081098,-1.03662,-2.665562,12641.474295,50872.759918,419.560568,18.366895,2.160792,2.497685,20.993713,3.76252,6.789262,12.594336,108.78857,8.846984,21.655252,33.074091,225.249567,12.824693,2,2,2,0,0.48594,0.048322,-0.024446,0.550814,0.198658,0.00049,0.781936,0.021477,0,0.499657,0.021477,0,0.499657,0.021477,0,0.499657,0.021477,0,0.420096,0.033557,-0.015706,0.499657,0.021477,0,0.487654,0.045638,-0.023269,0.420096,0.033557,-0.015706,0.499657,0.021477,0,0.487654,0.045638,-0.023269,0.420096,0.033557,-0.015706,0.499657,0.021477,0,0.487654,0.045638,-0.023269,128.555556,191.923563,2,691,2,0,2,2,469880,288506320,144253160000,80.909091,93.454545,93.272727,95.363636,97.818182,98.545455,98.636364,98.636364,98.636364,96.272727,96.272727,98.636364,97.545455,98.363636,97,98.636364,98.636364,97.636364,98.636364,98.454545,96.545455,98.636364
1455,120,7,2,0.058333,0,0,0,0,1,6,6,0.142857,0.857143,0.857143,70,50,0.583333,0.416667,0.840336,38.724167,1.819132,-1.546783,0.112508,38.724167,1.819132,-1.546783,0.112508,38.724167,1.819132,-1.546783,0.112508,38.724167,1.819132,-1.546783,0.112508,38.724167,1.819132,-1.546783,0.112508,38.724167,1.819132,-1.546783,0.112508,2,2,2,0,1,0,1,0.997714,0.041667,0.913043,0.921429,0.083333,0.833333,1,0,1,1,0,1,1,0,1,1,0,1,0.975714,0.05,0.897727,1,0,1,1,0,1,0.975714,0.05,0.897727,1,0,1,1,0,1,0.975714,0.05,0.897727,1,0,1,44,0,44,44,2,0,2,2,88,176,352,100,95.294118,0,100,100,100,100,100,58.823529,100,100,100,100,94.705882,100,58.823529,94.705882,100,100,100,100,100
1463,100,6,2,0.06,0,0,0,0,0,6,3,0,1,0.5,68,32,0.68,0.32,0.59596,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,2,2.833333,1.169045,0.825368,0.21,0.438503,0.727022,0.28,0.229075,0.576746,0.33,0.134313,0.564338,0.34,0.099576,0.564338,0.34,0.099576,0.564338,0.34,0.099576,0.565717,0.31,0.10197,0.5108,0.33,0.134313,0.824678,0.2,0.489796,0.565717,0.31,0.10197,0.5108,0.33,0.134313,0.824678,0.2,0.489796,0.565717,0.31,0.10197,0.5108,0.33,0.134313,0.824678,0.2,0.489796,?,?,?,?,2.833333,1.169045,2,5,15,45,90,74.074074,74.074074,0,76.296296,81.481481,75.555556,73.333333,74.074074,76.296296,85.185185,83.703704,71.111111,77.037037,74.074074,74.814815,70.37037,67.407407,71.111111,77.777778,80.740741,77.777778,77.037037
1464,748,5,2,0.006684,0,0,0,0,4,1,1,0.8,0.2,0.2,570,178,0.762032,0.237968,0.730924,356.994987,374.534549,10.224505,2.263111,5.514706,5.839307,-0.245631,0.74945,1378.676471,1459.826781,15.876152,3.211265,6.512701,6.403329,2.163614,1.032204,21.894385,16.236055,12.63375,2.545865,1042.577874,1100.964264,15.876152,3.211265,2,2,2,0,0.604425,0.286096,0.148662,0.66678,0.244652,0.149662,0.677765,0.237968,0,0.635053,0.241979,0.020631,0.635053,0.241979,0.020631,0.635053,0.241979,0.020631,0.696023,0.224599,0.326039,0.701119,0.237968,0.174905,0.567805,0.287433,0.135674,0.696023,0.224599,0.326039,0.701119,0.237968,0.174905,0.567805,0.287433,0.135674,0.696023,0.224599,0.326039,0.701119,0.237968,0.174905,0.567805,0.287433,0.135674,43.75,22.85279,31,78,2,0,2,2,2574,84942,2633202,74.234234,76.936937,73.513514,78.378378,80,76.666667,76.576577,78.108108,76.576577,72.252252,75.945946,76.576577,77.207207,76.576577,78.198198,76.576577,76.576577,78.738739,79.90991,73.513514,71.621622,78.828829
1465,106,10,6,0.09434,0,0,0,0,9,1,0,0.9,0.1,0,22,14,0.207547,0.132075,0.952381,51.585954,29.727478,-1.191685,0.018333,46.028302,27.568946,-1.215631,-0.016735,53.396226,30.582809,-1.162664,0.12978,50.051887,28.808618,-1.209834,-0.012854,52.896226,30.322118,-1.186511,0.008308,53.103774,30.409092,-1.179468,0.030152,6,6,6,0,0.619474,0.632075,0.238881,0.746088,0.566038,0.314434,0.595891,0.641509,0.194547,0.626663,0.622642,0.229006,0.626663,0.622642,0.229006,0.626663,0.622642,0.229006,0.63581,0.650943,0.215909,0.576114,0.688679,0.144311,0.574033,0.707547,0.146721,0.63581,0.650943,0.215909,0.576114,0.688679,0.144311,0.574033,0.707547,0.146721,0.63581,0.650943,0.215909,0.576114,0.688679,0.144311,0.574033,0.707547,0.146721,102.777778,4.146618,95,105,6,0,6,6,11025,1157625,121550625,33.043478,45.217391,36.521739,39.130435,33.043478,0,39.130435,39.130435,0,33.913043,46.956522,35.652174,36.521739,24.347826,25.217391,21.73913,36.521739,28.695652,38.26087,46.956522,35.652174,31.304348
443,95,10,5,0.105263,6,9,0.063158,0.009474,3,7,1,0.3,0.7,0.1,68,1,0.715789,0.010526,0.56383,27.334509,7.107868,-1.133144,-0.076235,2.967743,1.244373,-1.49053,-0.663832,75.865495,18.762026,-0.560225,0.28896,2.967743,1.244373,-1.49053,-0.663832,3.17029,1.317205,-1.348677,0.146167,75.865495,18.762026,-0.560225,0.28896,95,2,17.285714,34.306046,0.818781,0.157895,0.621916,0.963327,0.105263,0.756223,0.964825,0.178947,0.606481,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.484673,0.284211,0,0.85793,0.147368,0.599398,0.994737,0.010526,0.976687,0.484673,0.284211,0,0.85793,0.147368,0.599398,0.994737,0.010526,0.976687,0.484673,0.284211,0,0.85793,0.147368,0.599398,38.666667,44.455971,13,90,17.285714,34.306046,2,95,8550,111150,1444950,94.166667,92.5,0,99.166667,100,0,100,100,0,92.5,82.5,100,100,8.333333,100,79.166667,87.5,100,100,86.666667,88.333333,79.166667
1467,540,21,2,0.038889,0,0,0,0,20,1,1,0.952381,0.047619,0.047619,494,46,0.914815,0.085185,0.83859,18.575019,10.68835,-1.215173,0.000029,0.499913,0.288813,-1.502788,-0.000833,270.5,156.028843,-1.198661,0.001274,0.499988,0.288872,-1.200352,-0.000515,0.500038,0.288957,-1.200038,-0,0.500107,0.289053,-1.199551,0.000224,2,2,2,0,0.516898,0.144444,0.035184,0.850995,0.112963,0.296034,0.750418,0.085185,0,0.671273,0.092593,0.01918,0.671273,0.092593,0.01918,0.671273,0.092593,0.01918,0.797527,0.112963,0.221497,0.5,0.085185,0,0.62181,0.114815,0.248519,0.797527,0.112963,0.221497,0.5,0.085185,0,0.62181,0.114815,0.248519,0.797527,0.112963,0.221497,0.5,0.085185,0,0.62181,0.114815,0.248519,495.05,140.966765,3,540,2,0,2,2,291600,157464000,85030560000,85.91195,87.421384,62.641509,89.811321,89.18239,91.069182,92.327044,90.81761,92.45283,86.792453,90.062893,92.45283,90.188679,89.18239,88.176101,92.45283,92.45283,89.685535,89.937107,91.949686,89.056604,90.566038
444,132,4,2,0.030303,0,0,0,0,0,4,2,0,1,0.5,71,61,0.537879,0.462121,0.48855,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12,2,6.75,5.5,0.717502,0.340909,0.319743,0.79565,0.265152,0.472121,0.544447,0.416667,0.109421,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.688871,0.356061,0.297554,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.688871,0.356061,0.297554,0.843223,0.19697,0.603787,0.843223,0.19697,0.603787,0.688871,0.356061,0.297554,?,?,?,?,6.75,5.5,2,12,132,264,528,78.378378,78.918919,0,75.675676,70.27027,76.756757,81.621622,78.378378,69.72973,69.189189,68.108108,80.540541,81.621622,81.621622,77.297297,54.054054,54.054054,80,79.459459,81.621622,56.756757,75.135135
446,200,8,2,0.04,0,0,0,0,6,2,2,0.75,0.25,0.25,100,100,0.5,0.5,0.994975,22.728667,6.49191,-0.628049,-0.019073,12.7385,2.57334,-1.200923,-0.099837,36.4145,14.467083,-0.28062,0.025954,13.7075,3.211914,-0.758914,-0.078363,20.5415,5.307154,-0.558882,0.005492,33.18275,9.520737,-0.488212,0.021237,2,2,2,0,0.97,0.03,0.94,0.6827,0.405,0.19,0.6821,0.355,0.29,0.7105,0.335,0.33,0.7105,0.335,0.33,0.7105,0.335,0.33,0.8569,0.16,0.68,0.8687,0.14,0.72,0.845,0.155,0.69,0.8569,0.16,0.68,0.8687,0.14,0.72,0.845,0.155,0.69,0.8569,0.16,0.68,0.8687,0.14,0.72,0.845,0.155,0.69,107.333333,37.436168,50,152,2,0,2,2,22040,2292160,233800320,68.275862,63.448276,0,100,100,99.310345,96.551724,99.310345,54.137931,96.206897,95.517241,69.655172,88.62069,70.689655,86.896552,50,66.896552,88.62069,99.310345,93.793103,87.586207,84.137931
1470,500,13,2,0.026,0,0,0,0,1,12,1,0.076923,0.923077,0.076923,290,210,0.58,0.42,0.472946,3.5286,2.005364,-0.582089,-1.164765,3.5286,2.005364,-0.582089,-1.164765,3.5286,2.005364,-0.582089,-1.164765,3.5286,2.005364,-0.582089,-1.164765,3.5286,2.005364,-0.582089,-1.164765,3.5286,2.005364,-0.582089,-1.164765,25,2,13.833333,7.767453,0.535435,0.45,0.075748,0.60743,0.396,0.15845,0.569943,0.39,0.132871,0.53697,0.422,0.059044,0.53697,0.422,0.059044,0.53697,0.422,0.059044,0.53697,0.422,0.059044,0.488243,0.454,-0.002296,0.488752,0.478,0.006485,0.53697,0.422,0.059044,0.488243,0.454,-0.002296,0.488752,0.478,0.006485,0.53697,0.422,0.059044,0.488243,0.454,-0.002296,0.488752,0.478,0.006485,17,0,17,17,13.833333,7.767453,2,25,600,13800,248400,60.135135,60.405405,0,55.405405,58.243243,57.567568,58.378378,61.216216,59.594595,51.756757,52.162162,61.621622,62.567568,58.783784,52.027027,58.108108,61.486486,59.189189,61.216216,56.486486,55.540541,56.351351
448,120,4,2,0.033333,0,0,0,0,0,4,2,0,1,0.5,78,42,0.65,0.35,0.647059,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12,2,6.5,5.259911,0.742216,0.291667,0.317739,0.81543,0.241667,0.459963,0.565018,0.35,0.135802,0.851038,0.166667,0.625468,0.851038,0.166667,0.625468,0.851038,0.166667,0.625468,0.851038,0.166667,0.625468,0.5,0.35,0,0.836996,0.175,0.608939,0.851038,0.166667,0.625468,0.5,0.35,0,0.836996,0.175,0.608939,0.851038,0.166667,0.625468,0.5,0.35,0,0.836996,0.175,0.608939,?,?,?,?,6.5,5.259911,2,12,120,240,480,80,78.787879,0,75.757576,76.363636,78.181818,77.575758,80,76.363636,72.727273,71.515152,73.333333,76.363636,73.333333,73.333333,66.666667,70.30303,79.393939,80,79.393939,72.121212,73.333333
