@RELATION cpu-medium

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL

@DATA
118,31,27,366,80,62,92
119,7,2,4133,222,154,85
120,0,0,3896,199,156,88
121,9,9,383,122,43,95
122,7,2,2128,183,166,90
123,18,1,5654,1130,1089,72
124,21,29,1670,28,49,93
125,7,2,1305,89,108,95
126,2,1,158,8,9,99
127,14,8,5333,193,128,75
128,1,0,4748,256,168,86
129,33,28,5504,439,253,72
130,5,2,3841,194,189,87
131,1,1,458,21,17,99
132,88,104,5849,473,441,62
133,5,1,2481,219,153,84
134,0,0,964,94,50,85
135,15,12,1664,109,79,89
136,12,3,2857,159,132,89
137,0,0,1657,43,29,92
138,4,3,2938,148,127,91
139,5,1,1965,207,125,91
140,7,0,2107,235,154,81
141,6,4,1932,66,85,90
142,15,10,3781,346,168,85
143,18,11,4068,280,140,81
144,0,0,237,11,24,97
145,45,0,3575,217,131,63
146,7,4,3338,734,110,85
147,3,2,537,22,28,96
148,47,64,1364,432,273,0
149,21,20,1949,232,153,91
150,36,55,4085,156,137,94
151,0,0,367,62,43,96
152,1,0,443,54,25,97
153,53,71,4201,461,384,72
154,1,1,600,158,41,91
155,11,2,2485,265,147,86
156,15,15,419,189,62,97
157,2,1,542,89,65,96
158,2,1,1125,124,78,91
159,14,3,3542,360,259,81
160,3,2,2656,162,110,91
161,17,2,2614,208,113,87
162,5,2,4313,364,218,85
163,0,0,1977,256,133,91
164,54,69,1720,143,105,0
165,1,0,2381,118,119,95
166,24,7,1248,173,105,0
167,8,6,1572,121,123,93
168,20,2,3229,197,115,83
169,51,71,1824,161,118,92
170,41,61,956,101,82,91
171,14,12,4004,225,142,89
172,1,0,414,37,34,90
173,29,6,2375,146,123,89
174,35,51,4033,193,155,89
175,2,0,3599,227,124,91
176,12,0,4951,579,495,69
177,1,0,2370,216,165,86
178,2,0,1567,133,137,96
179,26,7,3681,262,137,83
180,18,0,5276,681,528,73
181,18,14,1405,97,75,93
182,0,0,1425,92,53,95
183,0,0,182,16,30,97
184,0,0,802,28,31,98
185,0,0,1369,245,109,93
186,48,68,3283,134,125,89
187,0,0,184,11,25,97
188,2,1,2675,143,94,81
189,10,0,3003,447,383,79
190,37,37,3127,266,193,91
191,9,0,2079,316,256,82
192,0,0,2611,286,167,92
193,4,0,973,130,120,93
194,33,42,2995,183,140,88
195,116,52,1417,197,142,84
196,5,3,842,52,30,93
197,8,0,1803,367,300,89
198,9,1,2783,391,223,86
199,22,0,2209,254,166,76
200,4,0,2822,248,157,92
201,2,2,1447,134,115,93
202,2,0,2040,230,91,94
203,9,5,1879,318,195,0
204,37,20,4736,409,305,81
205,10,1,3851,489,415,72
206,6,3,1480,84,80,0
207,52,60,1367,165,91,88
208,13,11,1092,85,46,95
209,0,0,3197,108,72,89
210,1,0,725,92,77,90
211,22,8,6630,202,115,73
212,0,0,1431,44,55,97
213,4,0,2965,268,197,86
214,10,9,1339,81,74,94
215,39,56,1053,41,40,0
216,13,9,1946,223,174,79
217,0,0,246,46,17,98
218,28,36,2862,193,101,79
219,7,0,5339,364,240,80
220,1,0,2967,188,134,88
221,30,24,1655,106,74,78
222,27,37,882,92,71,94
223,20,13,4257,403,298,80
224,1,0,3017,136,112,94
225,19,14,3392,577,572,79
226,86,78,6870,484,356,60
227,5,2,2561,198,169,90
228,1,1,1693,143,147,95
229,26,23,2344,421,181,0
