predictions,truth
201.21940476190474,201.0
20.858081529581536,29.0
12.315846679413402,12.0
8.751268704342714,14.0
125.0110476190476,128.0
173.46983333333333,173.0
121.84966666666665,114.0
11.761941092160116,14.0
59.89983333333333,64.0
136.55469191919192,131.0
10.856647597929307,9.0
96.18211904761904,100.0
13.402656439519337,14.0
39.85666666666666,41.0
172.0480952380952,176.0
9.356614167137531,10.0
44.23803266178266,41.0
8.729834291644545,9.0
30.434568232492133,32.0
69.34949999999999,66.0
135.83732683982683,131.0
12.348447049711606,10.0
43.75309523809524,48.0
191.13623809523807,193.0
14.360242424242426,23.0
28.386612484737487,33.0
52.73887034632035,46.0
45.64292510632642,64.0
49.26420745267806,51.0
73.35775000000001,69.0
65.42863492063493,68.0
57.42036507936509,58.0
49.3354721046927,52.0
65.08147222222222,61.0
46.08887361984421,46.0
47.0164484126984,47.0
73.79031746031747,73.0
72.74104195804196,67.0
70.23597619047621,73.0
43.13979758330763,43.0
78.46201190476191,80.0
78.05081576756578,80.0
77.67633694083693,86.0
68.61262698412698,71.0
86.7190909090909,88.0
50.6134460090563,51.0
91.27693686868685,91.0
55.789769841269866,55.0
75.03416666666664,75.0
37.345325396825395,37.0
47.22500061050062,50.0
35.15050088361931,36.0
37.36487512487513,37.0
51.55872775508805,54.0
36.533708727546966,37.0
33.11235511710512,34.0
73.41835935339172,72.0
43.1848178210678,43.0
32.030822927072926,33.0
33.865682221373405,35.0
51.03702394500924,53.0
87.47108424908423,91.0
42.10241251803749,41.0
30.953752337531746,31.0
52.240348497907334,51.0
49.51769441261354,51.0
29.7504514243926,30.0
90.59014810189811,92.0
41.426218975468956,41.0
26.80471094017121,28.0
28.24028191253191,29.0
88.04299730824731,90.0
43.523256526969774,45.0
43.30486724386723,43.0
76.00244841269839,83.0
121.34933333333336,126.0
27.120950109387177,27.0
33.99011355311356,35.0
102.85924603174601,106.0
49.21074314574314,52.0
113.46375,117.0
63.57617857142857,64.0
24.292845931845928,27.0
44.07829052809936,41.0
139.3224206349206,140.0
20.275617041455277,21.0
42.24211360861361,42.0
80.66078174603176,79.0
17.351376311983508,19.0
21.48909361743547,19.0
71.93098412698411,71.0
37.8847131202131,36.0
141.19603571428573,146.0
51.613261183261194,52.0
16.84698691090882,17.0
77.1672702020202,76.0
29.77936280446421,28.0
17.115109700874424,16.0
28.093633866133864,28.0
77.42054761904762,77.0
88.51714285714286,86.0
102.87266666666665,102.0
13.016132113823346,14.0
171.03619047619046,179.0
11.942009724230367,12.0
139.92907142857143,136.0
24.2397028303467,20.0
18.688104308934587,19.0
21.348588480963475,24.0
143.30121428571425,152.0
49.03746933621934,46.0
14.528014426743988,14.0
129.5962157287157,133.0
16.000970744262617,16.0
14.002719771813794,13.0
10.852658919321357,9.0
20.50345127333394,41.0
74.35089506767743,76.0
120.18221428571432,117.0
90.42811111111112,90.0
48.177624098124085,50.0
120.919,120.0
133.48416666666665,128.0
128.29653968253973,129.0
110.20590476190476,114.0
71.37059668109667,72.0
168.70872619047614,164.0
14.224222551952113,14.0
16.007031350323224,17.0
118.17321428571428,107.0
24.508476190476195,25.0
20.62976257879547,20.0
168.93783333333337,169.0
26.530520249855282,25.0
58.737871878121865,57.0
8.148806532373548,8.0
6.342384410739477,6.0
6.379680198285265,6.0
64.62057660081577,56.0
72.54008333333334,71.0
66.72936363636364,68.0
48.449014847725365,48.0
80.57190775890774,76.0
46.15536407383467,46.0
46.14039743589743,46.0
40.30098143523142,42.0
39.52830519480519,40.0
74.44362522640758,76.0
52.38033364919395,53.0
42.78251226551225,43.0
43.63497904872904,42.0
81.5429603174603,88.0
22.27981590688866,22.0
83.92959523809525,84.0
38.46269290431789,36.0
138.70946825396825,141.0
99.3130238095238,99.0
24.880224781309686,24.0
18.705455869294102,20.0
152.08334523809526,148.0
30.311700106051507,27.0
127.90573953823952,132.0
157.02929761904758,163.0
16.048944532709257,15.0
