@relation BayesNet

@attribute 'OpenML Data Set ID' numeric
@attribute BayesNet>TS:8 numeric
@attribute minimum_achievable_error numeric
@attribute learning_rate numeric
@attribute decay_rate numeric

@data
802,0.558242,0.302776,1.000192,-0.836306
803,0.750877,0.064166,0.988655,-1
805,0.502475,0.000037,0.9997,-0.247833
807,0.568116,0.288009,0.999933,-0.708387
813,0.526368,0,0.999468,-0.2686
816,0.594875,0.200451,0.999987,-0.467547
819,0.650473,0.139133,0.999928,-0.820716
826,0.530788,0.000122,1.000939,-0.178705
824,0.564356,0,0.998949,-0.289734
833,0.57047,0.221696,0.999928,-0.735378
837,0.509121,0.000303,1.00002,-0.270295
838,0.59604,0,0.998599,-0.290245
845,0.560199,0,1.001594,-0.249105
847,0.689987,0.189953,1.000157,-1
849,0.544421,0,1.000569,-0.25341
853,0.669935,0.000479,1.000396,-0.326406
855,0.473833,0,0.997736,-0.25069
866,0.604478,0,1.000367,-0.295895
869,0.627723,0,1.004745,-0.318854
871,0.5,0.494673,1.002076,-1
870,0.548515,0,0.999279,-0.289709
884,0.57302,0.000373,0.999174,-0.251558
886,0.540311,0,1.000827,-0.144197
879,0.574257,0,1.005168,-0.300414
888,0.519802,0,0.999436,-0.262884
903,0.589055,0,1.000454,-0.307997
910,0.550995,0.000384,0.999832,-0.290755
912,0.660697,0,1.000732,-0.34464
914,0.502494,0.142253,0.999932,-0.651975
917,0.54063,0,0.999248,-0.274998
923,0.689333,0,1.00003,-0.794311
931,0.526316,0.082124,1.000782,-0.170225
934,0.89532,0.000001,1.000653,-0.497743
937,0.552475,0,0.997623,-0.249047
936,0.544554,0,0.997869,-0.268148
948,0.557339,0.439463,1.00604,-1
949,0.781888,0.000473,0.999841,-0.392846
950,0.964286,0.001204,1.001076,-0.987078
951,0.973214,0.000116,0.996667,-0.998845
970,0.846999,0.002619,1.000767,-0.858859
372,0.229515,0.511154,1.000008,-0.399114
727,0.497072,0.163459,0.999997,-0.591582
300,0.360513,0,0.999981,-0.244275
821,0.713774,0.172971,0.999984,-0.783851
823,0.742553,0.03693,1.000022,-0.978247
825,0.745098,0.000393,0.999586,-0.357035
827,0.502506,0.082666,1.000741,-0.1606
839,0.636943,0,1.000639,-0.403556
841,0.544503,0,1.000671,-0.36181
843,0.737986,0.14458,0.999975,-0.891337
846,0.676476,0.241856,0.999479,-0.999761
881,0.682937,0.055691,1.000002,-0.697162
943,0.537129,0,0.999264,-0.264489
947,0.953869,0.001313,1.000222,-0.882932
976,0.832413,0.052211,0.999944,-0.865773
977,0.925602,0.028932,0.985385,-1
979,0.584416,0.159315,0.999943,-0.66755
981,0.715443,0.15105,0.999925,-0.938945
980,0.692,0.046273,0.999982,-0.783133
983,0.533051,0.000671,1.000339,-0.18279
990,0.537162,0,1.005175,-0.240536
989,0.749306,0.001992,1.000301,-0.369505
993,0.834615,0.08784,0.998402,-0.995099
994,0.730882,0.007579,1.002393,-0.365523
991,0.680275,0.050942,1.000031,-0.566963
997,0.567901,0,0.999942,-0.265073
1000,0.92649,0.028934,0.961202,-1
1014,0.685417,0,1.001212,-0.295218
1002,0.819626,0.278615,1.001368,-0.999926
1018,0.933861,0.184745,1.000224,-0.953449
1019,0.808549,0.031285,0.999993,-0.780296
1021,0.89242,0.067162,1.000876,-1
1023,0.677789,0.000001,1.001095,-0.45046
1037,0.730924,0.189071,0.998428,-0.997594
1038,0.565562,0.187726,1.000034,-0.671298
1039,0.964539,0.05859,1.001359,-0.997506
1040,0.900289,0.019671,0.990508,-1
1042,0.591739,0.192124,1.000047,-0.709106
1041,0.41076,0.000211,0.999902,-0.219942
1044,0.370277,0.508063,0.999921,-0.638868
1046,0.806798,0.068337,0.999986,-0.902902
1050,0.870075,0.242034,1.009098,-0.999996
1049,0.696347,0.220929,1.016184,-1
1053,0.704775,0.26184,1.004696,-1
1056,0.954593,0.0538,1.004617,-1
1063,0.769524,0.000173,0.999762,-0.327617
1067,0.831754,0.269565,1.007691,-0.999999
1068,0.77027,0,1.001064,-0.382512
1069,0.94842,0.022681,1.005975,-0.999945
1119,0.747019,0.177774,0.999942,-0.962284
1120,0.835742,0.000798,1,-0.898597
1443,0.905263,0,1.001675,-0.341551
1444,0.83134,0.228006,1.001363,-0.599876
1451,0.861167,0,1.001856,-0.326597
1452,0.906667,0,1.001758,-0.74682
1453,0.839815,0.235587,1.001352,-0.63583
1454,0.696347,0.222037,1.02224,-1
1459,0.157157,0.633754,0.99977,-0.437599
1460,0.54367,0.038427,1.000059,-0.194769
1462,0.735584,0.009734,1.000243,-0.416078
1464,0.7,0,1.00235,-0.25659
1466,0.419302,0,0.999974,-0.489712
1467,0.861621,0.000294,0.999882,-0.439773
1472,0.301227,0.095009,0.999653,-0.137711
1480,0.613485,0.000548,1.00151,-0.214
1487,0.837701,0.203548,1.003658,-0.998281
1489,0.703449,0.233302,0.98449,-1
1496,0.547796,0,1.000032,-0.393621
1494,0.672507,0,1.000777,-0.277265
1497,0.338518,0.08407,1.000029,-0.450969
1504,0.604756,0,0.999846,-0.285156
1507,0.704254,0.015356,1.000009,-0.516501
1510,0.861404,0.000315,0.99974,-0.601269
1525,0.681915,0,1.000011,-0.7105
1526,0.617566,0,0.999998,-0.660359
1528,0.826462,0.093245,1.001025,-0.999991
1527,0.814872,0.091018,1.005124,-1
1475,0.196574,0.605795,0.998599,-0.999675
1476,0.417504,0.326014,0.999912,-0.507764
1529,0.820141,0.096821,1.000195,-0.890412
1546,0.882015,0.088252,1.00068,-0.849104
1548,0.29852,0.475211,0.999271,-0.749051
1547,0.610945,0,1.001119,-0.265027
1557,0.510554,0.421065,0.996389,-0.998749
1558,0.805249,0.119834,1.000098,-0.99997
1560,0.667254,0.057884,1.000031,-0.608396
1566,0.500882,0.043227,1.000403,-0.141412
1471,0.549675,0.32316,0.999991,-0.457662
1477,0.417504,0.302463,0.999937,-0.470156
1491,0.29425,0.104031,0.998836,-0.151859
1492,0.257,0.10373,0.999721,-0.111695
1501,0.401548,0.020859,0.999754,-0.24138
1493,0.254135,0.544707,0.99901,-0.351264
1531,0.861349,0.034626,0.999992,-0.94446
1532,0.813514,0.030656,1.000003,-0.87073
1533,0.931025,0.033074,1.000005,-0.932326
1534,0.912963,0.035909,0.999249,-1
1535,0.84022,0.034904,0.999998,-0.906202
1536,0.827748,0.035514,1.001724,-1
1537,0.872817,0.023839,1.000039,-0.997914
1539,0.840232,0.051467,1.000013,-0.900468
1540,0.813978,0.051927,1.000012,-0.881444
1541,0.781683,0.054636,1.000025,-0.953729
1543,0.830275,0.085349,1.000618,-0.814519
1542,0.768679,0.087501,1.000399,-0.936203
1544,0.796109,0.083961,1.000435,-0.901113
1568,0.457642,0.049131,1.000016,-0.413355
40975,0.44894,0.127355,0.999907,-0.494754
40910,0.916396,0.013163,1.007749,-1
40670,0.555944,0,1.000096,-0.39696
40701,0.805908,0.133911,0.982549,-1
40497,0.906967,0.029204,0.798846,-0.999998
40687,0.539352,0.216173,1.000672,-0.556847
4134,0.532623,0.202392,1.000196,-0.360478
40707,0.876821,0.040003,1.003044,-1
40666,0.779125,0.099053,0.9949,-0.999269
40708,0.84127,0.035343,0.836619,-1
4154,0.998479,0,0.996331,-1
40981,0.782734,0,1.002139,-0.373825
40704,0.696145,0.166501,1.000179,-0.47097
40664,0.463873,0.092719,0.999974,-0.430842
40978,0.859756,0.051107,0.999507,-0.921947
40713,0.933775,0.015389,1.006073,-1
40705,0.883681,0,1.001105,-0.548622
1545,0.856647,0.078742,1.000154,-0.785168
40680,0.733962,0.053992,1.000398,-0.539696
901,0.57714,0.083355,1,-0.332298
4135,0.930068,0.100778,1.000453,-0.999999
40693,0.682692,0,1.000547,-0.282342
40706,0.520494,0.001706,1.000782,-0.119129
